"","game_date","game_id","batter_id","pitcher_id","top_bot","start","end","pred_sing","pred_re24","actual"
"1","2019-04-04",564734,425783,518774,"Top","0  outs,  _ _ _","0  outs,  1b _ _",0.40013,0.542672160094173,5
"2","2019-04-04",564734,596059,518774,"Top","0  outs,  1b _ _","1  outs,  1b _ _",0.70538,0.9625,5
"3","2019-04-04",564734,462101,518774,"Top","1  outs,  1b _ _","1  outs,  1b 2b _",0.42388,0.548789435069699,5
"4","2019-04-04",564734,608336,518774,"Top","1  outs,  1b 2b _","1  outs,  _ _ _",0.87497,0.882239382239382,5
"5","2019-04-04",564734,452678,518774,"Top","1  outs,  _ _ _","1  outs,  1b _ _",0.23055,0.28759752488566,2
"6","2019-04-04",564734,608597,518774,"Top","1  outs,  1b _ _","1  outs,  _ _ _",0.44045,0.548789435069699,2
"7","2019-04-04",564734,523253,518774,"Top","1  outs,  _ _ _","2  outs,  _ _ _",0.18929,0.28759752488566,0
"8","2019-04-04",564734,643396,518774,"Top","2  outs,  _ _ _","2  outs,  1b _ _",0.06049,0.0949324324324324,0
"9","2019-04-04",564734,592261,518774,"Top","2  outs,  1b _ _",NA,0.1567,0.213401310997815,0
"10","2019-04-04",564734,594777,450172,"Bot","0  outs,  _ _ _","0  outs,  _ _ _",0.57845,0.542672160094173,1
"11","2019-04-04",564734,545361,450172,"Bot","0  outs,  _ _ _","0  outs,  1b _ _",0.53914,0.542672160094173,0
"12","2019-04-04",564734,571506,450172,"Bot","0  outs,  1b _ _","0  outs,  1b 2b _",0.82555,0.9625,0
"13","2019-04-04",564734,592743,450172,"Bot","0  outs,  1b 2b _","1  outs,  1b 2b _",1.32233,1.57777777777778,0
"14","2019-04-04",564734,405395,450172,"Bot","1  outs,  1b 2b _","1  outs,  1b 2b 3b",0.93103,0.882239382239382,0
"15","2019-04-04",564734,600303,450172,"Bot","1  outs,  1b 2b 3b",NA,1.33314,1.29559748427673,0
"16","2019-04-05",564735,425783,570240,"Top","0  outs,  _ _ _","1  outs,  _ _ _",0.40379,0.542672160094173,0
"17","2019-04-05",564735,596059,570240,"Top","1  outs,  _ _ _","1  outs,  _ 2b _",0.21078,0.28759752488566,0
"18","2019-04-05",564735,462101,570240,"Top","1  outs,  _ 2b _","1  outs,  1b _ 3b",0.60156,0.712605042016807,0
"19","2019-04-05",564735,608577,570240,"Top","1  outs,  1b _ 3b","2  outs,  _ 2b 3b",0.88253,1.08482142857143,0
"20","2019-04-05",564735,608336,570240,"Top","2  outs,  _ 2b 3b",NA,0.42151,0.506410256410256,0
"21","2019-04-05",564735,594777,458681,"Bot","0  outs,  _ _ _","1  outs,  _ _ _",0.50853,0.542672160094173,0
"22","2019-04-05",564735,545361,458681,"Bot","1  outs,  _ _ _","2  outs,  _ _ _",0.29843,0.28759752488566,0
"23","2019-04-05",564735,571506,458681,"Bot","2  outs,  _ _ _",NA,0.11376,0.0949324324324324,0
"24","2019-04-06",564736,592261,572140,"Top","0  outs,  _ _ _","1  outs,  _ _ _",0.37088,0.542672160094173,0
"25","2019-04-06",564736,425783,572140,"Top","1  outs,  _ _ _","1  outs,  _ 2b _",0.20744,0.28759752488566,0
"26","2019-04-06",564736,462101,572140,"Top","1  outs,  _ 2b _","2  outs,  _ 2b _",0.60577,0.712605042016807,0
"27","2019-04-06",564736,452254,572140,"Top","2  outs,  _ 2b _",NA,0.2804,0.337333333333333,0
"28","2019-04-06",564736,664058,592767,"Bot","0  outs,  _ _ _","0  outs,  1b _ _",0.55341,0.542672160094173,0
"29","2019-04-06",564736,545361,592767,"Bot","0  outs,  1b _ _","0  outs,  1b 2b _",0.92341,0.9625,0
"30","2019-04-06",564736,592743,592767,"Bot","0  outs,  1b 2b _","0  outs,  1b 2b 3b",1.32727,1.57777777777778,0
"31","2019-04-06",564736,405395,592767,"Bot","0  outs,  1b 2b 3b","1  outs,  1b 2b 3b",1.72621,2.31944444444444,0
"32","2019-04-06",564736,518960,592767,"Bot","1  outs,  1b 2b 3b","2  outs,  1b 2b 3b",1.28121,1.29559748427673,0
"33","2019-04-06",564736,594777,592767,"Bot","2  outs,  1b 2b 3b",NA,0.81169,0.689956331877729,0
"34","2019-04-07",564737,425783,608717,"Top","0  outs,  _ _ _","0  outs,  1b _ _",0.43751,0.542672160094173,0
"35","2019-04-07",564737,596059,608717,"Top","0  outs,  1b _ _","2  outs,  _ _ _",0.74565,0.9625,0
"36","2019-04-07",564737,462101,608717,"Top","2  outs,  _ _ _",NA,0.07869,0.0949324324324324,0
"37","2019-04-07",564737,600303,571946,"Bot","0  outs,  _ _ _","1  outs,  _ _ _",0.59408,0.542672160094173,0
"38","2019-04-07",564737,545361,571946,"Bot","1  outs,  _ _ _","2  outs,  _ _ _",0.34574,0.28759752488566,0
"39","2019-04-07",564737,571506,571946,"Bot","2  outs,  _ _ _",NA,0.1249,0.0949324324324324,0
"40","2019-04-08",564738,456715,502239,"Top","0  outs,  _ _ _","1  outs,  _ _ _",0.50295,0.542672160094173,0
"41","2019-04-08",564738,592885,502239,"Top","1  outs,  _ _ _","1  outs,  1b _ _",0.29809,0.28759752488566,0
"42","2019-04-08",564738,460075,502239,"Top","1  outs,  1b _ _","2  outs,  _ 2b _",0.51548,0.548789435069699,0
"43","2019-04-08",564738,543768,502239,"Top","2  outs,  _ 2b _",NA,0.34383,0.337333333333333,0
"44","2019-04-08",564738,594777,468504,"Bot","0  outs,  _ _ _","1  outs,  _ _ _",0.50969,0.542672160094173,0
"45","2019-04-08",564738,545361,468504,"Bot","1  outs,  _ _ _","1  outs,  1b _ _",0.29467,0.28759752488566,0
